,"A,B",A,B,DNA_max_Cfrac,AA_max_Cfrac,ksize,PdN,PdS,PdN/PdS,dN/dS,ANI_approx,AAI_approx
10,"('negative_0.01_10', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_10,0.8895791583166333,0.9401143544989468,7,0.008783165985253194,0.007793164118149454,1.127034648840274,0.38915546170717985,0.9944437418046765,0.9912168340147468
11,"('negative_0.01_11', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_11,0.8763527054108217,0.9283779717123082,7,0.010560461470860982,0.008118124499343127,1.3008499034124785,0.44917238817381544,0.9937346318201751,0.989439538529139
12,"('negative_0.01_12', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_12,0.8791583166332665,0.9286789046042732,7,0.010514649842607748,0.0077157414563696625,1.3627530033328776,0.47054700115081427,0.9938858968290828,0.9894853501573923
13,"('negative_0.01_13', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_13,0.8725450901803607,0.9208546494131808,7,0.01170990952262485,0.007578911955717582,1.545064725787033,0.5334976855856571,0.9935286042156033,0.9882900904773751
14,"('negative_0.01_14', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_14,0.8857715430861723,0.941017153174842,7,0.008647240093873965,0.008531523520746487,1.0135634125424473,0.34997481060882707,0.9942406389013254,0.991352759906126
15,"('negative_0.01_15', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_15,0.8708416833667335,0.911525729762263,7,0.013146457181446913,0.006416103648858029,2.0489783053593262,0.707494751177884,0.9934361566155531,0.9868535428185531
16,"('negative_0.01_16', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_16,0.9078156312625252,0.9398134216069816,7,0.008828499479070162,0.004892775221120971,1.8043950682548395,0.6230422432987562,0.9954051615625741,0.9911715005209298
17,"('negative_0.01_17', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_17,0.8825651302605211,0.921155582305146,7,0.011663777323628888,0.0060240228266629225,1.9362106783533177,0.6685570503731186,0.9940689589141086,0.9883362226763711
18,"('negative_0.01_18', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_18,0.8868737474949899,0.9328919650917844,7,0.009874619437957644,0.0071295276185056045,1.3850313746350882,0.47823953294574795,0.994299517223986,0.9901253805620424
19,"('negative_0.01_19', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_19,0.8855711422845691,0.9331928979837496,7,0.00982899784698088,0.007381534240357812,1.3315657053030794,0.4597782928624983,0.9942299262556716,0.9901710021530191
20,"('negative_0.01_20', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_20,0.8753507014028056,0.9193499849533554,7,0.011940764534585702,0.006898189052115256,1.730999896403853,0.5976995157986399,0.9936804968093367,0.9880592354654143
21,"('negative_0.01_21', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_21,0.8988977955911823,0.9365031597953656,7,0.009327990847218026,0.005783233726911696,1.6129368598421259,0.5569333551921242,0.9949373378468147,0.990672009152782
22,"('negative_0.01_22', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_22,0.8688376753507014,0.908215467950647,7,0.01365923000607372,0.0062259653287045635,2.1939135997269994,0.7575396734483361,0.9933271739875148,0.9863407699939263
23,"('negative_0.01_23', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_23,0.9052104208416832,0.95034607282576,7,0.007249178959043645,0.006876933986599831,1.0541294962506778,0.36398193368296944,0.995268948131144,0.9927508210409564
24,"('negative_0.01_24', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_24,0.8818637274549098,0.9340956966596448,7,0.009692208694595195,0.008107154459732091,1.195513017882662,0.41280045908952906,0.9940313247424135,0.9903077913054048
25,"('negative_0.01_25', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_25,0.8697394789579158,0.9241649112247968,7,0.01120316443219549,0.008536766525779615,1.3123428406251707,0.4531408014714715,0.9933762457642964,0.9887968355678045
26,"('negative_0.01_26', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_26,0.8802605210420842,0.931086367739994,7,0.010148614184906646,0.007906036001969041,1.2836539300325824,0.443234765078515,0.9939451966180444,0.9898513858150934
27,"('negative_0.01_27', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_27,0.864128256513026,0.91844718627746,7,0.012079433038512999,0.008566471505280115,1.4100826730197609,0.48688953283641967,0.9930701195068663,0.987920566961487
28,"('negative_0.01_28', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_28,0.9495991983967936,0.9690039121275956,7,0.004487988718156033,0.0028726849718042624,1.562297558627613,0.5394480359386825,0.9975403974183945,0.995512011281844
29,"('negative_0.01_29', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_29,0.8920841683366734,0.9160397231417394,7,0.012449787723582961,0.003731408781509571,3.3364845431237637,1.1520596852938556,0.9945769111026018,0.987550212276417
30,"('negative_0.01_30', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_30,0.8986973947895791,0.9325910321998194,7,0.009920253644943644,0.005222341309636169,1.899579720429029,0.6559086927041938,0.9949267742532472,0.9900797463550564
31,"('negative_0.01_31', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_31,0.8978957915831663,0.9398134216069816,7,0.008828499479070162,0.006439636987523811,1.3709622912245747,0.47338159831521187,0.994884497432735,0.9911715005209298
32,"('negative_0.01_32', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_32,0.895190380761523,0.9283779717123082,7,0.010560461470860982,0.005132088048041661,2.057731935228726,0.710517304989291,0.9947415473033304,0.989439538529139
33,"('negative_0.01_33', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_33,0.925250501002004,0.950647005717725,7,0.007204276393158127,0.0038330413657223783,1.8795196048713663,0.6489821057179157,0.9963072746447631,0.9927957236068419
34,"('negative_0.01_34', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_34,0.8947895791583166,0.9395124887150166,7,0.008873845416887849,0.0068816735845723676,1.2894894400079682,0.44524971695342397,0.9947203345219451,0.9911261545831122
35,"('negative_0.01_35', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_35,0.908817635270541,0.9392115558230516,7,0.008919203806109666,0.004646628999158464,1.919499879961364,0.6627869540673769,0.9954574522361548,0.9910807961938903
36,"('negative_0.01_36', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_36,0.8948897795591182,0.9283779717123082,7,0.010560461470860982,0.005179312893771271,2.038969586788466,0.7040388259314434,0.9947256385655389,0.989439538529139
37,"('negative_0.01_37', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_37,0.8939879759519038,0.9271742401444478,7,0.01074383536225354,0.005137695167617529,2.0911780500273847,0.7220659634623705,0.9946778817974444,0.9892561646377465
38,"('negative_0.01_38', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_38,0.905310621242485,0.93439662955161,7,0.009646637492179533,0.004463886296302677,2.1610401457065778,0.7461887498628094,0.995274194009099,0.9903533625078205
39,"('negative_0.01_39', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_39,0.875751503006012,0.9304845019560638,7,0.010240046978145068,0.00853474068983251,1.1998076274706388,0.4142833511894134,0.993702157892175,0.9897599530218549
40,"('negative_0.01_40', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_40,0.9112224448897795,0.9599759253686428,7,0.0058183038097726625,0.007375066934654728,0.7889153903719862,0.27240576259481136,0.9955827261742081,0.9941816961902273
41,"('negative_0.01_41', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_41,0.9102024453798356,0.937405958471261,7,0.009191616036374084,0.004159631397987695,2.209718880576945,0.7629971022619946,0.9955296297573794,0.9908083839636259
42,"('negative_0.01_42', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_42,0.8705410821643287,0.9259705085765876,7,0.010927413427837984,0.008683501981708863,1.25841088662797,0.43451855726616,0.993419824457688,0.989072586572162
43,"('negative_0.01_43', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_43,0.8570140280561123,0.9000902798675895,7,0.014924679102972904,0.00687714811514617,2.1701843341286957,0.7493461602148411,0.9926792618339437,0.9850753208970271
44,"('negative_0.01_44', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_44,0.8861723446893788,0.9298826361721336,7,0.010331530478177142,0.006783714668608387,1.52299012899028,0.5258755153912626,0.9942620572696111,0.9896684695218229
45,"('negative_0.01_45', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_45,0.8848697394789579,0.9253686427926572,7,0.011019279180004782,0.0063024911097423475,1.7484005908348297,0.6037078273286183,0.9941924138055451,0.9889807208199952
46,"('negative_0.01_46', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_46,0.8802605210420842,0.9280770388203432,7,0.010606285829281692,0.007448364357593995,1.4239751601931276,0.49168649029090056,0.9939451966180444,0.9893937141707183
47,"('negative_0.01_47', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_47,0.8851703406813627,0.927776105928378,7,0.010652122925536744,0.006621964597787189,1.608604632090042,0.5554374738606871,0.9942084940362427,0.9893478770744633
48,"('negative_0.01_48', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_48,0.8682364729458918,0.9220583809810412,7,0.011525458192246707,0.008456651875108023,1.3628866793218306,0.4705931583308563,0.9932944325133628,0.9884745418077533
49,"('negative_0.01_49', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_49,0.8897795591182365,0.921757448089076,7,0.011571551666268887,0.00497313267596855,2.3268133830785542,0.8034288363096354,0.9944544084829204,0.9884284483337311
50,"('negative_0.01_50', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_50,0.8680360721442886,0.9196509178453204,7,0.011894567637068199,0.008119860123709133,1.4648734652875754,0.505808326579118,0.9932835138902963,0.9881054323629318
51,"('negative_0.01_51', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_51,0.9137274549098195,0.950647005717725,7,0.007204276393158127,0.005602007898217853,1.286016821834542,0.4440506514854697,0.9957128854834574,0.9927957236068419
52,"('negative_0.01_52', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_52,0.8943887775551103,0.937105025579296,7,0.009237061793290868,0.006581450871782413,1.4034993154616153,0.4846163555629793,0.9946991126892901,0.9907629382067091
53,"('negative_0.01_53', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_53,0.90250501002004,0.9295817032801684,7,0.010377291262288924,0.004170289049031606,2.4883865699186156,0.859218681092975,0.9951270999775189,0.9896227087377111
54,"('negative_0.01_54', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_54,0.905811623246493,0.9256695756846224,7,0.010973339904207902,0.0030592602752916864,3.5869258960523207,1.238534950654837,0.9953004151071663,0.9890266600957921
55,"('negative_0.01_55', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_55,0.890681362725451,0.9422208847427024,7,0.00846617934008742,0.007936174634349147,1.0667833975633956,0.36835121799274195,0.9945023802385081,0.9915338206599126
56,"('negative_0.01_56', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_56,0.8729458917835672,0.911224796870298,7,0.013193006877277091,0.0060314719166795205,2.1873610719786254,0.7552771414455344,0.9935503316112697,0.9868069931227229
57,"('negative_0.01_57', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_57,0.8964929859719439,0.9262714414685526,7,0.010881499743170875,0.004606565715054578,2.3621718252296664,0.8156378051241449,0.9948104264280336,0.9891185002568291
58,"('negative_0.01_58', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_58,0.8902805611222445,0.9389106229310864,7,0.008964574654145907,0.00750102200485081,1.195113765610691,0.4126626006817184,0.9944810651717824,0.9910354253458541
59,"('negative_0.01_59', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_59,0.902004008016032,0.9446283478784232,7,0.00810465184440845,0.006521096792299175,1.242835691992689,0.4291405752620496,0.9951007873674435,0.9918953481555915
60,"('negative_0.01_60', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_60,0.8777555110220441,0.921757448089076,7,0.011571551666268887,0.006882783476926724,1.681231394981464,0.5805148762940481,0.9938103218836376,0.9884284483337311
61,"('negative_0.01_61', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_61,0.8764529058116233,0.9274751730364128,7,0.010697972767300334,0.007964585086691733,1.3431927276633533,0.46379300461918477,0.9937400420786351,0.9893020272326997
62,"('negative_0.01_62', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_62,0.891461214672279,0.9500451399337948,7,0.007294093714016792,0.008985276907805706,0.8117828519764654,0.2803017022519634,0.9945438274502562,0.9927059062859832
63,"('negative_0.01_63', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_63,0.8935871743486974,0.9316882335239242,7,0.010057232037606223,0.005887340578400457,1.7082809977911437,0.5898548736767626,0.994656641838477,0.9899427679623938
64,"('negative_0.01_64', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_64,0.8534068136272545,0.8907613602166716,7,0.016389734050809235,0.006001340449883763,2.731012210968081,0.9429952477333733,0.9924798983293849,0.9836102659491908
65,"('negative_0.01_65', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_65,0.9132264529058116,0.9446283478784232,7,0.00810465184440845,0.004778976906206767,1.6958968422472211,0.5855787302826728,0.9956868808318169,0.9918953481555915
66,"('negative_0.01_66', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_66,0.8847695390781564,0.9328919650917844,7,0.009874619437957644,0.007463048192695054,1.323134888452559,0.4568672036360854,0.9941870525725122,0.9901253805620424
67,"('negative_0.01_67', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_67,0.9065130260521042,0.9482395425820042,7,0.007563838616742258,0.0063597305500354695,1.189333189076709,0.41066661685608336,0.9953371014493958,0.9924361613832577
68,"('negative_0.01_68', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_68,0.9200400801603208,0.9485404754739694,7,0.007518850576418545,0.004315995070950263,1.7420897041856682,0.6015287319385492,0.9960393856945473,0.9924811494235815
69,"('negative_0.01_69', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_69,0.9148296593186372,0.9455311465543184,7,0.007969282621128282,0.004666971730041047,1.7075917923030122,0.5896168968938652,0.9957700479500632,0.9920307173788717
70,"('negative_0.01_70', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_70,0.8685370741482966,0.9292807703882034,7,0.010423064745970989,0.009510580767471133,1.095944085940662,0.37842015523511646,0.9933108059484969,0.989576935254029
71,"('negative_0.01_71', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_71,0.8681362725450902,0.9286789046042732,7,0.010514649842607748,0.009483618272148497,1.1087171099544555,0.38283057159862366,0.993288973501884,0.9894853501573923
72,"('negative_0.01_72', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_72,0.8802605210420842,0.9232621125489016,7,0.011341213144872353,0.006713437042003334,1.689330379344417,0.5833113865897762,0.9939451966180444,0.9886587868551276
73,"('negative_0.01_73', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_73,0.8952905811623246,0.9380078242551912,7,0.009100762025344156,0.006576048898852882,1.3839255402939115,0.47785769776964654,0.994746849085343,0.9908992379746558
74,"('negative_0.01_74', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_74,0.8682364729458918,0.9172434547095998,7,0.01226450623177977,0.00771760383557496,1.5891598601168762,0.548723359771298,0.9932944325133628,0.9877354937682202
75,"('negative_0.01_75', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_75,0.8962925851703407,0.9452302136623532,7,0.00801439338123855,0.007505114580174332,1.0678575650809567,0.36872211888445594,0.9947998358460735,0.9919856066187615
76,"('negative_0.01_76', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_76,0.8885771543086173,0.9352994282275052,7,0.009509999324697538,0.00722465130350658,1.3163264115019273,0.4545162945544771,0.994390374061821,0.9904900006753025
77,"('negative_0.01_77', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_77,0.9061122244488978,0.9313873006319592,7,0.010102916784313298,0.003882946960323319,2.601868345755633,0.8984029714044114,0.9953161411369374,0.9898970832156867
78,"('negative_0.01_78', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_78,0.8661322645290581,0.9130303942220884,7,0.01291390610170462,0.007407859127694705,1.74327101516081,0.6019366285532841,0.9931796670692562,0.9870860938982954
79,"('negative_0.01_79', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_79,0.8739478957915832,0.924465844116762,7,0.011157173881305993,0.007906558915571349,1.4111289121406294,0.4872507902907106,0.9936046085620994,0.988842826118694
80,"('negative_0.01_80', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_80,0.9092184368737476,0.9425218176346676,7,0.008420945132563862,0.005082752043410799,1.656768825361183,0.5720681594296462,0.9954783531330804,0.9915790548674361
81,"('negative_0.01_81', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_81,0.8896793587174349,0.9103219981944026,7,0.013332735069886081,0.0032277713891953885,4.130631777242947,1.4262719589583268,0.9944490754298313,0.9866672649301139
82,"('negative_0.01_82', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_82,0.8917835671342685,0.9205537165212158,7,0.011756054645615688,0.0044725076387464036,2.628515274914273,0.9076039290062736,0.9945609496043031,0.9882439453543843
83,"('negative_0.01_83', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_83,0.8725450901803607,0.9223593138730064,7,0.011479377610903119,0.007809443867439314,1.4699353508084259,0.507556152521295,0.9935286042156033,0.9885206223890969
84,"('negative_0.01_84', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_84,0.8796593186372745,0.9334938308757148,7,0.00978338886445862,0.00836709671326863,1.1692692459194383,0.4037387082322724,0.9939128600508156,0.9902166111355414
85,"('negative_0.01_85', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_85,0.9021042084168336,0.9407162202828768,7,0.008692536300041631,0.005917575694928789,1.4689353796506417,0.5072108710004458,0.9951060510027839,0.9913074636999584
86,"('negative_0.01_86', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_86,0.8996993987975952,0.9322900993078544,7,0.009965900475500278,0.005019902492566453,1.9852777001660757,0.6854994749452369,0.9949795698041376,0.9900340995244997
87,"('negative_0.01_87', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_87,0.9097194388777556,0.9473367439061088,7,0.007698876203129035,0.005727184443226285,1.3442689474118001,0.46416461412873816,0.9955044669181596,0.992301123796871
88,"('negative_0.01_88', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_88,0.8823647294589179,0.9172434547095998,7,0.01226450623177977,0.005455161305502609,2.2482389694707265,0.7762977607589504,0.9940582092010739,0.9877354937682202
89,"('negative_0.01_89', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_89,0.8958917835671343,0.9452302136623532,7,0.00801439338123855,0.007568017668404647,1.0589818539533087,0.3656574114547299,0.9947786479149237,0.9919856066187615
90,"('negative_0.01_90', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_90,0.8874749498997996,0.921155582305146,7,0.011663777323628888,0.005245202724544429,2.223703817785602,0.7678259819259702,0.994331603306087,0.9883362226763711
91,"('negative_0.01_91', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_91,0.9056112224448898,0.9560637977730966,7,0.006398106404487791,0.007665658784455243,0.8346453428715286,0.2881959255655054,0.9952899283258033,0.9936018935955122
92,"('negative_0.01_92', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_92,0.8900801603206413,0.9286789046042732,7,0.010514649842607748,0.005982577310766346,1.7575451676462934,0.606865371788182,0.9944704042110516,0.9894853501573923
93,"('negative_0.01_93', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_93,0.8928857715430861,0.9431236834185976,7,0.008330513843201826,0.0077244407668501935,1.0784617417163225,0.3723836507271607,0.9946194500686284,0.9916694861567982
94,"('negative_0.01_94', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_94,0.8868737474949899,0.9298826361721336,7,0.010331530478177142,0.006672616578286106,1.5483476919380923,0.5346312658261574,0.994299517223986,0.9896684695218229
95,"('negative_0.01_95', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_95,0.8965931863727455,0.9322900993078544,7,0.009965900475500278,0.005506445990268283,1.8098607510385702,0.6249294969953808,0.9948157208735409,0.9900340995244997
96,"('negative_0.01_96', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_96,0.8799599198396794,0.9304845019560638,7,0.010240046978145068,0.007862513888844846,1.3023884120158324,0.4497036220861843,0.9939290309645311,0.9897599530218549
97,"('negative_0.01_97', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_97,0.897995991983968,0.9325910321998194,7,0.009920253644943644,0.005332184880242008,1.8604481779509117,0.642396904494261,0.9948897840006287,0.9900797463550564
98,"('negative_0.01_98', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_98,0.8896793587174349,0.9322900993078544,7,0.009965900475500278,0.006594605983581192,1.5112200031833152,0.5218113912337008,0.9944490754298313,0.9900340995244997
99,"('negative_0.01_99', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_99,0.912124248496994,0.9392115558230516,7,0.008919203806109666,0.004134710859606372,2.1571529688435773,0.7448465408114594,0.9956296227390478,0.9910807961938903
100,"('negative_0.01_0', 'negative_0.01_1')",negative_0.01_0,negative_0.01_1,0.8092184368737475,0.8856455010532651,7,0.01719874366845342,0.012589487412009381,1.3661194539221009,0.47170940785651017,0.989970331702665,0.9828012563315466
101,"('negative_0.01_0', 'negative_0.01_2')",negative_0.01_0,negative_0.01_2,0.7948897795591182,0.8868492326211255,7,0.017008028798351615,0.01525322321150091,1.115044903134151,0.3850155046696396,0.9891284878542435,0.9829919712016484
102,"('negative_0.01_0', 'negative_0.01_3')",negative_0.01_0,negative_0.01_3,0.81312625250501,0.8898585615407764,7,0.01653221056307419,0.012588077028550138,1.3133229583500832,0.45347922777110494,0.990197461686582,0.9834677894369258
103,"('negative_0.01_0', 'negative_0.01_4')",negative_0.01_0,negative_0.01_4,0.8169338677354709,0.8799277761059284,7,0.018107684857503248,0.010364427347608673,1.747099405514298,0.6032585391237711,0.9904177700787039,0.9818923151424968
104,"('negative_0.01_0', 'negative_0.01_5')",negative_0.01_0,negative_0.01_5,0.8127254509018036,0.8757147156184171,7,0.018780676057539636,0.010407991773316416,1.804447627032985,0.6230603913970396,0.9901742142035194,0.9812193239424604
105,"('negative_0.01_0', 'negative_0.01_6')",negative_0.01_0,negative_0.01_6,0.8006012024048096,0.8859464339452302,7,0.017151044131198945,0.01411991418064562,1.2146705646914016,0.41941539677685163,0.9894657668222686,0.982848955868801
106,"('negative_0.01_0', 'negative_0.01_7')",negative_0.01_0,negative_0.01_7,0.785871743486974,0.8594643394523022,7,0.02140277418801184,0.012434587775823402,1.7212290888826491,0.5943257392106008,0.9885912139366664,0.9785972258119882
107,"('negative_0.01_0', 'negative_0.01_8')",negative_0.01_0,negative_0.01_8,0.800501002004008,0.8799277761059284,7,0.018107684857503248,0.013180594766818765,1.3738139422272575,0.4743662491098602,0.9894598694222918,0.9818923151424968
108,"('negative_0.01_0', 'negative_0.01_9')",negative_0.01_0,negative_0.01_9,0.7956913827655311,0.8618718025880229,7,0.02101164794860766,0.011110248276418488,1.8911951763674715,0.6530135810775574,0.9891759642215691,0.9789883520513923
109,"('negative_0.01_0', 'negative_0.01_10')",negative_0.01_0,negative_0.01_10,0.7965931863727455,0.8808305747818237,7,0.017963831890842497,0.014001432841278527,1.2829995397244034,0.4430088096806236,0.9892293207170515,0.9820361681091575
110,"('negative_0.01_0', 'negative_0.01_11')",negative_0.01_0,negative_0.01_11,0.7817635270541082,0.8693951248871502,7,0.01979538497530242,0.01476512783302597,1.340684970639062,0.46292709748523664,0.9883445063329419,0.9802046150246976
111,"('negative_0.01_0', 'negative_0.01_12')",negative_0.01_0,negative_0.01_12,0.7967935871743487,0.875413782726452,7,0.01882885297772441,0.013101625397480499,1.4371387065718793,0.4962317506997072,0.9892411699034432,0.9811711470222756
112,"('negative_0.01_0', 'negative_0.01_13')",negative_0.01_0,negative_0.01_13,0.7836673346693387,0.865783930183569,7,0.020378060559136935,0.013846929593357538,1.4716663663049476,0.5081538574236815,0.9884589873784568,0.9796219394408631
113,"('negative_0.01_0', 'negative_0.01_14')",negative_0.01_0,negative_0.01_14,0.7939879759519038,0.8802287089978935,7,0.01805971981795873,0.014358451506681691,1.257776286638894,0.43429943529683784,0.989075022407108,0.9819402801820413
114,"('negative_0.01_0', 'negative_0.01_15')",negative_0.01_0,negative_0.01_15,0.7902805611222445,0.8555522118567559,7,0.022040361796083263,0.0110245315629377,1.9992107302026882,0.6903104315049641,0.9888546106693125,0.9779596382039167
115,"('negative_0.01_0', 'negative_0.01_16')",negative_0.01_0,negative_0.01_16,0.8192384769539078,0.8850436352693349,7,0.017294184434989646,0.01078686798891726,1.6032628240892715,0.5535929930711834,0.990550640033986,0.9827058155650104
116,"('negative_0.01_0', 'negative_0.01_17')",negative_0.01_0,negative_0.01_17,0.7929859719438878,0.8648811315076738,7,0.02052405489989373,0.012068650490661414,1.700608938486951,0.5872057769663462,0.989015548482636,0.9794759451001063
